Time,Action,BE_Val0,BE_Val1,BE_Val2,LE_Val0,LE_Val1,LE_Val2
9.55,PITCH (前),-84679251,-696018115,810711498,-1377438726,1033602006,-898018768
9.60,PITCH (前),-77187969,-696600997,811803382,2134140667,1538685654,-165518544
9.65,PITCH (前),-68066696,-697265297,812740473,2019750395,1871933654,2037346608
9.70,PITCH (前),-60650488,-698493023,812731225,143418108,-1579721258,1498116400
9.75,PITCH (前),-54180331,-700156768,812032436,356959740,-1602992938,-1264490960
9.80,PITCH (前),-44953703,-702422670,810828199,-1727048963,1927356886,-1488890832
9.85,PITCH (前),-39804642,-703150975,810499457,513908989,-2117855530,-2126688464
9.90,PITCH (前),-35421201,-703595426,810321099,-276569091,1593577430,-880522192
9.95,PITCH (前),-30403309,-703921049,810223509,320155902,1728318422,-1794684112
10.01,ROLL (右傾),-27619614,-703082309,811036513,-493987074,-1143990314,1634686768
10.06,ROLL (右傾),-25690869,-701388074,812527396,201160702,-693489194,607088176
10.11,ROLL (右傾),-20557226,-701227537,812727653,1448265470,-283298602,1698525488
10.16,ROLL (右傾),-16364642,-701758311,812276670,-1639250177,-1727779626,-1101305296
10.21,ROLL (右傾),-11128847,-702496176,811580318,-248555777,1354899670,-1631887568
10.26,ROLL (右傾),-956031,-702870552,810968154,-2123763201,-401925162,1516525104
10.31,ROLL (右傾),9931429,-701868508,811305159,-1517644032,609626838,-947365072
10.36,ROLL (右傾),18609056,-699743589,812434916,-1594680575,-1681765674,-456823760
10.41,ROLL (右傾),25102901,-697809725,813461213,889880321,-1018926890,-579961808
10.46,ROLL (右傾),35287382,-696777645,813050172,1450252802,1392802006,1009350192
10.51,ROLL (右傾),42577572,-696513967,812120741,-1532065534,1359641814,-1510316240
10.56,ROLL (右傾),49421460,-696507522,810904839,-1810042366,2116254934,124605744
10.61,ROLL (右傾),52207758,-696890093,809971882,-1902109693,323843798,-1439676624
10.66,ROLL (右傾),57204282,-696829005,809055986,987654147,-1287948330,-231327440
10.71,ROLL (右傾),62882095,-696268133,808362034,797032195,-1681227818,849358384
10.76,ROLL (右傾),69017294,-695688098,807438522,-836887292,1587841238,-1165483984
10.81,ROLL (右傾),73362416,-695758522,806212938,-261398780,1183942614,1255476528
10.86,ROLL (右傾),74308684,-696398682,805252489,1289514244,-1496547882,-1993474257
